firstName,gender,email,password,major,pref_1,pref_2,pref_3,summary
Deborah,female,morenomark@gray-huffman.info,36109650,English Language and Literature,thai,mediterranian,chinese,
Jennifer,female,afitzgerald@vang-fields.info,73194605,Biomedical Sciences,thai,korean,spanish,
John,male,pamela04@yahoo.com,71045860,Management,korean,indian,ethiopian,
Ricky,male,nbutler@gmail.com,15394968,Management,russian,ethiopian,thai,
Amber,female,jennifer00@russell.org,62110440,English Language and Literature,spanish,thai,mexican,
Jesus,male,qriddle@hotmail.com,73727430,Cultural,chinese,french,ethiopian,
Mercedes,female,jilldavis@singleton.biz,32280048,Business,mexican,japanese,french,
Taylor,female,blopez@hotmail.com,56421825,Business,french,american,russian,
Tony,male,christymcdonald@santos.com,54352060,Applied Sciences,french,indian,ethiopian,
Mark,male,brandy55@gmail.com,22813804,Performing Arts,russian,indian,chinese,
Justin,male,trodriguez@allen-cross.com,89330274,Information Sciences,mexican,french,ethiopian,
Elizabeth,female,brittanywoodward@perez.com,22993417,Communications Technologies,russian,italian,ethiopian,
Brent,male,tuckerrobert@jenkins.info,52949963,Communications Technologies,french,chinese,spanish,
Felicia,female,leonardmarcus@lambert.com,14021705,Foreign Languages,chinese,japanese,french,
Monica,female,amichael@yahoo.com,49041027,Biomedical Sciences,korean,japanese,thai,
Michael,male,ramirezjennifer@arellano.com,14030108,Philosophy and Religious Studies,mexican,italian,french,
Julie,female,bryce01@holt.com,76119840,Architecture,japanese,italian,ethiopian,
Eric,male,brookesanders@gmail.com,59571121,Cultural,french,chinese,mediterranian,
Billy,male,melaniemack@hotmail.com,31480912,English Language and Literature,american,japanese,spanish,
Sharon,female,cmendoza@owens.org,90856835,Journalism,chinese,indian,american,
Julia,female,richardsontodd@yahoo.com,60499971,Literatures,spanish,french,american,
Andre,male,michaelbecker@calderon-griffith.net,98037821,Performing Arts,american,japanese,thai,
Emily,female,renee80@gmail.com,87230873,Cultural,chinese,indian,japanese,
Adam,male,jamesbarker@garcia-jones.info,52535104,Biomedical Sciences,thai,indian,french,
Kristi,female,samuel35@mcdowell.com,92912126,Management,french,russian,indian,
Ryan,male,angelacarter@davis.net,71075656,Applied Sciences,russian,chinese,italian,
Pamela,female,maria97@conway.com,57985107,Management,american,thai,mediterranian,
Brad,male,obishop@willis.org,80521004,Agriculture,japanese,italian,thai,
Michelle,female,cheryl20@hotmail.com,94855803,Architecture,chinese,french,japanese,
Tracy,female,spowell@weber.com,38968944,English Language and Literature,french,mediterranian,japanese,
Gregory,male,lisalopez@smith.net,72417445,Applied Sciences,spanish,mediterranian,japanese,
Adam,male,thompsonjohn@adams-powell.com,21613709,Architecture,russian,ethiopian,mexican,
Tamara,female,rparker@young.info,74351278,Communications Technologies,korean,italian,french,
Phillip,male,paulsmith@yahoo.com,24312004,Ethnic,mediterranian,korean,french,
Scott,male,ahall@gmail.com,68653537,Information Sciences,mexican,italian,chinese,
Jeremy,male,ttravis@gmail.com,93095484,Management,french,indian,korean,
Stephanie,female,matthew08@gmail.com,75898268,Philosophy and Religious Studies,italian,russian,mediterranian,
Donald,male,melissa24@ellis-garcia.org,34563851,English Language and Literature,russian,italian,korean,
Jessica,female,floresjenna@yahoo.com,45417435,Cultural,japanese,indian,thai,
Jordan,male,johnsonlindsay@gmail.com,52879301,Marketing,japanese,mediterranian,indian,
Timothy,male,kimberly75@gmail.com,53303907,Foreign Languages,indian,french,japanese,
Katie,female,mdickerson@yahoo.com,13337270,Marketing,korean,spanish,mediterranian,
Bobby,male,omontoya@johnson.biz,69455658,Management,mediterranian,mexican,american,
Matthew,male,john51@hotmail.com,15107812,Agriculture,indian,spanish,italian,
Ashley,female,juliaduran@patton.com,86684465,Applied Sciences,french,chinese,thai,
Nicholas,male,douglasanita@flores.info,93286335,Communications Technologies,mexican,russian,chinese,
Robert,male,kelseyhenry@yahoo.com,57547608,Cultural,japanese,chinese,indian,
Donna,female,clarkcarl@gmail.com,27833998,Applied Sciences,ethiopian,indian,russian,
Joseph,male,nguyendominique@gmail.com,97673932,Journalism,spanish,french,chinese,
Timothy,male,bryangregory@hotmail.com,88344617,Biomedical Sciences,mexican,indian,thai,
William,male,sarahrobinson@vincent.com,34642880,Management,mexican,chinese,american,
Kimberly,female,schapman@parks.com,24590788,Management,japanese,chinese,russian,
Amanda,female,alyssajohnson@gmail.com,17659048,Psychology,french,mediterranian,american,
George,male,deckerdale@stewart.org,37262179,Foreign Languages,spanish,ethiopian,thai,
John,male,evanreyes@yahoo.com,94081577,Agriculture,american,mediterranian,russian,
April,female,jeffreythomas@yahoo.com,57390346,English Language and Literature,french,american,thai,
Virginia,female,cthomas@nelson-ramirez.biz,87487613,Cultural,japanese,russian,indian,
Joseph,male,josephwalker@bowman-hahn.biz,63438163,Ethnic,japanese,mediterranian,chinese,
Andrew,male,rkennedy@yahoo.com,16990074,Philosophy and Religious Studies,japanese,italian,mexican,
Guy,male,ocruz@king-hanson.info,95628364,Philosophy and Religious Studies,indian,spanish,korean,
Brandy,female,christopherwatkins@andersen.com,69103687,Agriculture,spanish,mediterranian,mexican,
Robert,male,lisa73@coleman.com,98294702,Biomedical Sciences,chinese,mediterranian,american,
Cheryl,female,stephanie72@hotmail.com,94366856,Journalism,mediterranian,american,thai,
Todd,male,jerry29@king.com,68123773,Marketing,thai,french,spanish,
Christina,female,steve70@hotmail.com,47046145,Foreign Languages,indian,french,chinese,
Kyle,male,kelly82@gmail.com,85879717,Agriculture,french,italian,indian,
Scott,male,sanfordadam@martinez.com,58419837,Marketing,russian,mediterranian,indian,
Robert,male,thomas76@allen-arroyo.org,39604323,Architecture,indian,thai,american,
Sean,male,hornbrenda@schultz.net,15033032,Information Sciences,mexican,spanish,japanese,
Samantha,female,erica67@hotmail.com,14446329,Ethnic,japanese,russian,spanish,
Gregory,male,drakesarah@gmail.com,42708617,Ethnic,french,chinese,thai,
Amy,female,brittney70@hotmail.com,10563899,Agriculture,ethiopian,spanish,american,
Katherine,female,udrake@yahoo.com,89650018,Journalism,spanish,mediterranian,korean,
Diana,female,ysandoval@yahoo.com,59999562,Architecture,mexican,chinese,indian,
Amy,female,kellyvasquez@duran.biz,22600993,Management,japanese,french,ethiopian,
Terry,male,john26@brown.biz,60311468,Information Sciences,russian,japanese,indian,
Cynthia,female,scortez@hotmail.com,46004967,Architecture,italian,chinese,mexican,
Sara,female,ryanevans@owens.info,69306638,Journalism,ethiopian,mexican,italian,
John,male,rickeyhiggins@gmail.com,71963386,Applied Sciences,mexican,french,japanese,
Charles,male,harrisvincent@gmail.com,40499596,Communications Technologies,ethiopian,mexican,korean,
Scott,male,janetmiller@hotmail.com,50653415,Applied Sciences,chinese,french,spanish,
Samantha,female,joshuahernandez@white.net,96449063,Journalism,french,american,indian,
Louis,male,willie25@green-barrera.com,92045314,Journalism,american,japanese,korean,
Caleb,male,yshaffer@wilson.org,20502410,Information Sciences,ethiopian,korean,japanese,
Erica,female,shawkristin@morgan.org,79681852,Foreign Languages,ethiopian,japanese,spanish,
Nicholas,male,jnelson@gmail.com,85836557,Law Enforcement,french,korean,chinese,
Benjamin,male,blairtanya@townsend.org,49590788,Cultural,italian,korean,russian,
Teresa,female,mcclainerin@tyler.com,93341081,Communications Technologies,italian,spanish,mediterranian,
Michelle,female,arroyorhonda@reynolds.biz,41878142,Architecture,american,indian,japanese,
Melanie,female,waltersmary@yahoo.com,21725553,Agriculture,indian,italian,american,
Michael,male,theresamarshall@yahoo.com,48404864,Communications Technologies,indian,thai,japanese,
Margaret,female,cruzwilliam@yahoo.com,17258590,Management,mexican,ethiopian,indian,
Heather,female,xschaefer@ramos-gray.com,19196471,English Language and Literature,mexican,italian,spanish,
Kristine,female,vanessarodgers@gmail.com,11018546,Philosophy and Religious Studies,chinese,korean,mediterranian,
Melissa,female,josephbrown@gmail.com,74860790,Journalism,korean,french,thai,
Peter,male,eric80@gmail.com,22654615,Foreign Languages,chinese,spanish,american,
Timothy,male,robert91@hotmail.com,66004831,Literatures,chinese,french,korean,
Robert,male,cooperandrea@johnson.com,75446705,Journalism,ethiopian,mexican,spanish,
Christopher,male,williammonroe@anderson.info,60670069,Business,russian,indian,french,
Amber,female,hbowers@klein.com,83390073,Biomedical Sciences,ethiopian,mexican,spanish,
Samantha,female,heathercox@gaines.com,13897983,Cultural,spanish,indian,french,
Nicholas,male,michael01@moore-bauer.com,79524661,Marketing,spanish,indian,american,
Erika,female,rmiller@gmail.com,22934854,English Language and Literature,italian,ethiopian,japanese,
Matthew,male,jenniferterry@marshall.com,57875502,Journalism,russian,korean,spanish,
Jeffrey,male,elaine33@hotmail.com,46902049,Information Sciences,japanese,chinese,ethiopian,
Kathryn,female,justin73@woods-best.info,64039239,Communications Technologies,ethiopian,french,indian,
Heather,female,pattyrodriguez@yahoo.com,48120838,Communications Technologies,russian,thai,japanese,
Joshua,male,amanda54@yahoo.com,12176544,Psychology,indian,italian,korean,
David,male,joshua59@gmail.com,93144918,Foreign Languages,american,korean,spanish,
Kyle,male,vbrown@yahoo.com,57884488,Performing Arts,russian,french,spanish,
Emily,female,benjamin74@gmail.com,39589013,Business,russian,italian,ethiopian,
Richard,male,jessicawarner@gonzalez.org,50138855,Business,mexican,thai,russian,
Michael,male,salazarlisa@cain.com,62150683,Business,french,spanish,american,
Michael,male,mary83@rosales-clark.com,53542055,English Language and Literature,spanish,american,italian,
Gerald,male,brianwebster@parker.com,70339377,Communications Technologies,mediterranian,american,chinese,
Jill,female,tbrown@hotmail.com,83592801,Journalism,japanese,thai,italian,
Pamela,female,stewartsandra@gmail.com,15261917,Psychology,ethiopian,indian,russian,
Curtis,male,heather99@hotmail.com,92585362,Psychology,ethiopian,korean,indian,
Tina,female,jeffreyhunt@glass-decker.com,27773185,Applied Sciences,spanish,thai,mexican,
Mario,male,gramirez@yahoo.com,37214248,Journalism,spanish,french,japanese,
Richard,male,kellytaylor@gmail.com,16216926,Cultural,japanese,mexican,spanish,
Brenda,female,mcgeeangela@hotmail.com,47348402,Foreign Languages,thai,ethiopian,indian,
Catherine,female,bruce39@gmail.com,10052485,Business,mediterranian,french,mexican,
Carol,female,christopher99@gmail.com,25030526,Business,thai,japanese,spanish,
Donna,female,mshepherd@yahoo.com,87971275,Law Enforcement,italian,american,chinese,
Shirley,female,taylorrichard@hotmail.com,55468584,Agriculture,mediterranian,korean,chinese,
Krista,female,troy55@hotmail.com,45888713,Journalism,japanese,american,thai,
Angelica,female,thomasdaniel@howard.com,79964262,Ethnic,french,thai,indian,
Audrey,female,allenjackson@hotmail.com,72463955,Information Sciences,spanish,indian,french,
Bill,male,coopersara@gmail.com,33814921,English Language and Literature,korean,japanese,mediterranian,
Jill,female,dustinjohnson@yahoo.com,86841483,Cultural,ethiopian,mexican,american,
Susan,female,antonioperez@henderson-curtis.info,76507935,Information Sciences,korean,spanish,japanese,
Brenda,female,vernonsolis@kim-hernandez.com,16312174,Journalism,mediterranian,french,thai,
Samantha,female,xjohnson@hotmail.com,13721330,Architecture,ethiopian,spanish,russian,
Jamie,female,ricky62@hernandez.com,29368423,Applied Sciences,spanish,italian,japanese,
Randy,male,adamsanchez@gmail.com,42887955,Law Enforcement,chinese,italian,mediterranian,
Priscilla,female,gregorywolfe@hotmail.com,21909357,Business,american,indian,russian,
Nicolas,male,robinbriggs@wright.com,64435136,Biomedical Sciences,thai,russian,japanese,
Daniel,male,littlekayla@tyler.biz,54025412,Cultural,japanese,korean,italian,
Derek,male,sanchezkeith@hotmail.com,96762690,Literatures,thai,japanese,ethiopian,
Jason,male,christine24@gmail.com,53769107,Management,american,mexican,indian,
Jessica,female,rdecker@yahoo.com,97904134,Information Sciences,russian,japanese,chinese,
Derek,male,michaellarson@gmail.com,36770075,Information Sciences,american,mediterranian,russian,
Casey,male,jessica38@gmail.com,34856823,Ethnic,american,russian,mediterranian,
Ronald,male,elizabethbryant@hotmail.com,48444075,Applied Sciences,mediterranian,chinese,ethiopian,
Jennifer,female,allison78@yahoo.com,61806094,Psychology,mexican,ethiopian,japanese,
Gregory,male,brianowens@gmail.com,41322033,Psychology,japanese,indian,korean,
Sara,female,gina89@palmer.biz,37925086,Philosophy and Religious Studies,american,chinese,mediterranian,
Mark,male,pgriffin@gonzalez.com,48208279,Foreign Languages,spanish,japanese,mediterranian,
Kenneth,male,ncruz@koch.biz,69582540,English Language and Literature,japanese,italian,mediterranian,
Jeffrey,male,vcampbell@yahoo.com,97347690,Psychology,thai,mediterranian,ethiopian,
Christy,female,greerholly@yahoo.com,58776490,Journalism,american,japanese,italian,
Kyle,male,amywise@larson-brown.com,21138336,Literatures,french,american,thai,
