sequence,initiator,budget,cuisine,gender,companion,day,meal,email1,emai2,restaurant,status
23,Sharon,1,chinese,female,unknown,12/7/17,Lunch,parknathan@hotmail.com,unknown,unknown,unmatched
24,Joseph,3,korean,male,unknown,12/8/17,Dinner,josephwalker@bowman-hahn.biz,unknown,unknown,unmatched
25,Tracy,1,french,female,unknown,12/7/17,Breakfast,shanejohnson@gmail.com,unknown,unknown,unmatched
26,William,3,american,male,unknown,12/9/17,Lunch,gbrooks@yahoo.com,unknown,unknown,unmatched
27,Jonathan,3,korean,male,unknown,12/8/17,Breakfast,ihudson@gmail.com,unknown,unknown,unmatched
28,David,1,indian,male,unknown,12/7/17,Lunch,smithrobert@hicks.info,unknown,unknown,unmatched
29,Timothy,3,chinese,male,unknown,12/7/17,Lunch,bortega@kline.org,unknown,unknown,unmatched
30,Brian,3,italian,male,unknown,12/8/17,Breakfast,adeleon@yahoo.com,unknown,unknown,unmatched
31,Melissa,1,ethiopian,female,unknown,12/7/17,Dinner,lindabryant@allen.com,unknown,unknown,unmatched
32,Billy,3,russian,male,unknown,12/7/17,Dinner,melaniemack@hotmail.com,unknown,unknown,unmatched
33,Jason,1,american,male,unknown,12/7/17,Lunch,victoria27@hotmail.com,unknown,unknown,unmatched
34,Charles,3,korean,male,unknown,12/7/17,Dinner,charles58@mckay-griffin.com,unknown,unknown,unmatched
35,Joseph,1,french,male,unknown,12/7/17,Dinner,wesleypatel@long.com,unknown,unknown,unmatched
36,Colin,3,indian,male,unknown,12/7/17,Dinner,dsmith@gmail.com,unknown,unknown,unmatched
37,William,2,japanese,male,unknown,12/9/17,Dinner,gbrooks@yahoo.com,unknown,unknown,unmatched
38,Kevin,2,italian,male,unknown,12/9/17,Breakfast,hnielsen@cantu.net,unknown,unknown,unmatched
39,Julia,1,ethiopian,female,unknown,12/7/17,Lunch,craigshaw@garcia.com,unknown,unknown,unmatched
40,Amy,3,indian,female,unknown,12/9/17,Lunch,humphreylisa@gmail.com,unknown,unknown,unmatched
41,Nichole,2,french,female,unknown,12/7/17,Lunch,melissa05@ferguson-hughes.info,unknown,unknown,unmatched
42,Penny,2,thai,female,unknown,12/8/17,Breakfast,bethany98@sloan-hendricks.com,unknown,unknown,unmatched
43,Alexis,2,chinese,male,unknown,12/8/17,Lunch,jacksontim@mcgrath-wright.org,unknown,unknown,unmatched
44,Gary,1,italian,male,unknown,12/7/17,Dinner,glasselizabeth@yahoo.com,unknown,unknown,unmatched
45,Alexa,3,mexican,female,unknown,12/7/17,Lunch,fergusonrichard@gmail.com,unknown,unknown,unmatched
46,Tonya,2,ethiopian,female,unknown,12/8/17,Dinner,mindy52@gmail.com,unknown,unknown,unmatched
47,Elizabeth,1,mexican,female,unknown,12/9/17,Breakfast,melliott@hotmail.com,unknown,unknown,unmatched
48,Jessica,1,japanese,female,unknown,12/7/17,Breakfast,donnakennedy@morgan-shepherd.biz,unknown,unknown,unmatched
49,Jacob,3,japanese,male,unknown,12/7/17,Lunch,ronald06@hotmail.com,unknown,unknown,unmatched
50,Anita,3,korean,female,unknown,12/8/17,Dinner,andrearivera@hotmail.com,unknown,unknown,unmatched
51,Derek,3,korean,male,unknown,12/8/17,Breakfast,sanchezkeith@hotmail.com,unknown,unknown,unmatched
52,Diane,2,french,female,unknown,12/7/17,Lunch,hailey48@gmail.com,unknown,unknown,unmatched
53,Mark,2,mediterranian,male,unknown,12/7/17,Breakfast,conleyshawn@hotmail.com,unknown,unknown,unmatched
54,James,2,indian,male,unknown,12/9/17,Breakfast,davisashley@hotmail.com,unknown,unknown,unmatched
55,Nicholas,2,korean,male,unknown,12/9/17,Breakfast,michael01@moore-bauer.com,unknown,unknown,unmatched
56,Amanda,1,chinese,female,unknown,12/8/17,Lunch,ashleykemp@lopez.biz,unknown,unknown,unmatched
57,Mark,3,korean,male,unknown,12/8/17,Dinner,john26@santos.biz,unknown,unknown,unmatched
58,Kevin,2,ethiopian,male,unknown,12/7/17,Breakfast,hnielsen@cantu.net,unknown,unknown,unmatched
59,Shannon,3,mediterranian,female,unknown,12/8/17,Breakfast,lynchstephen@sanchez.net,unknown,unknown,unmatched
60,Angela,1,american,female,unknown,12/8/17,Dinner,martha61@yahoo.com,unknown,unknown,unmatched
61,John,3,mediterranian,male,unknown,12/7/17,Lunch,cbaker@house.com,unknown,unknown,unmatched
62,Steven,1,american,male,unknown,12/8/17,Dinner,xhanna@gutierrez.biz,unknown,unknown,unmatched
63,Tracy,3,mediterranian,female,unknown,12/9/17,Dinner,shanejohnson@gmail.com,unknown,unknown,unmatched
64,David,3,french,male,unknown,12/7/17,Dinner,bmurphy@green.biz,unknown,unknown,unmatched
65,Alexis,1,thai,female,unknown,12/8/17,Lunch,joodom@payne-ray.org,unknown,unknown,unmatched
66,Scott,1,french,male,unknown,12/8/17,Lunch,ahall@gmail.com,unknown,unknown,unmatched
67,Ricardo,3,french,male,unknown,12/7/17,Dinner,morganadrian@williams.net,unknown,unknown,unmatched
68,Linda,2,thai,female,unknown,12/7/17,Breakfast,martingrant@yahoo.com,unknown,unknown,unmatched
69,Amanda,2,spanish,female,unknown,12/8/17,Breakfast,ashleykemp@lopez.biz,unknown,unknown,unmatched
70,Mark,1,american,male,unknown,12/7/17,Dinner,dakota63@yahoo.com,unknown,unknown,unmatched
71,Kathryn,1,american,female,unknown,12/9/17,Dinner,josephjacobson@hotmail.com,unknown,unknown,unmatched
72,Katelyn,1,mediterranian,female,unknown,12/9/17,Lunch,laura84@hotmail.com,unknown,unknown,unmatched
73,Jonathan,2,mediterranian,male,unknown,12/8/17,Breakfast,ihudson@gmail.com,unknown,unknown,unmatched
74,Tracy,2,french,female,unknown,12/9/17,Dinner,shanejohnson@gmail.com,unknown,unknown,unmatched
75,Trevor,1,spanish,male,unknown,12/7/17,Breakfast,brettfritz@anderson.com,unknown,unknown,unmatched
76,Ronnie,1,thai,male,unknown,12/9/17,Lunch,william76@johns-ramsey.com,unknown,unknown,unmatched
77,Alejandra,1,japanese,female,unknown,12/8/17,Breakfast,melissabrown@long.com,unknown,unknown,unmatched
78,Gabriel,2,indian,male,unknown,12/9/17,Breakfast,andrea38@hotmail.com,unknown,unknown,unmatched
79,Ryan,3,italian,male,unknown,12/7/17,Breakfast,ajones@garcia.biz,unknown,unknown,unmatched
80,Louis,2,chinese,male,unknown,12/7/17,Dinner,millerjames@hudson.com,unknown,unknown,unmatched
81,Amanda,3,italian,female,unknown,12/8/17,Dinner,kevin82@gmail.com,unknown,unknown,unmatched
82,Matthew,3,mediterranian,male,unknown,12/8/17,Breakfast,hillamber@yahoo.com,unknown,unknown,unmatched
83,Tracy,3,japanese,female,unknown,12/9/17,Dinner,eric41@johnson-james.info,unknown,unknown,unmatched
84,Janet,2,french,female,unknown,12/7/17,Breakfast,kflores@yahoo.com,unknown,unknown,unmatched
85,Krystal,1,american,female,unknown,12/8/17,Dinner,reidnancy@barnes.info,unknown,unknown,unmatched
86,Michael,1,american,male,unknown,12/8/17,Dinner,payneteresa@wood.com,unknown,unknown,unmatched
87,Vanessa,3,mediterranian,female,unknown,12/7/17,Dinner,glenn08@hotmail.com,unknown,unknown,unmatched
88,Katelyn,1,italian,female,unknown,12/7/17,Breakfast,laura84@hotmail.com,unknown,unknown,unmatched
89,Jonathan,2,ethiopian,male,unknown,12/7/17,Dinner,ihudson@gmail.com,unknown,unknown,unmatched
90,Isaac,2,ethiopian,male,unknown,12/9/17,Breakfast,vramirez@henderson-ortega.com,unknown,unknown,unmatched
91,Jennifer,1,italian,female,unknown,12/7/17,Lunch,imyers@gmail.com,unknown,unknown,unmatched
92,David,1,ethiopian,male,unknown,12/9/17,Dinner,haneydaniel@hotmail.com,unknown,unknown,unmatched
93,Deborah,2,thai,female,unknown,12/7/17,Breakfast,morenomark@gray-huffman.info,unknown,unknown,unmatched
94,David,3,indian,male,unknown,12/8/17,Dinner,joshua59@gmail.com,unknown,unknown,unmatched
95,Maria,2,italian,female,unknown,12/9/17,Lunch,jasonharper@yahoo.com,unknown,unknown,unmatched
96,Jodi,1,indian,female,unknown,12/9/17,Breakfast,martin82@spears.com,unknown,unknown,unmatched
97,Nathan,3,american,male,unknown,12/9/17,Breakfast,qarnold@price-curtis.com,unknown,unknown,unmatched
98,Isaac,2,mediterranian,male,unknown,12/9/17,Lunch,vramirez@henderson-ortega.com,unknown,unknown,unmatched
99,Sharon,2,mexican,female,unknown,12/7/17,Breakfast,timothybyrd@mullen.com,unknown,unknown,unmatched
100,Christine,2,russian,female,unknown,12/9/17,Lunch,lmatthews@roberts.com,unknown,unknown,unmatched
101,Christina,3,french,female,unknown,12/9/17,Lunch,steve70@hotmail.com,unknown,unknown,unmatched
102,Brian,2,korean,male,unknown,12/8/17,Breakfast,matthewgraham@yahoo.com,unknown,unknown,unmatched
103,Jessica,1,italian,female,unknown,12/9/17,Dinner,alvaradoangela@pennington.com,unknown,unknown,unmatched
104,Melissa,3,ethiopian,female,unknown,12/7/17,Lunch,mcbridebradley@hotmail.com,unknown,unknown,unmatched
105,Molly,1,korean,female,unknown,12/7/17,Breakfast,sweeneykaren@yahoo.com,unknown,unknown,unmatched
106,Susan,2,indian,female,unknown,12/9/17,Dinner,bschwartz@gmail.com,unknown,unknown,unmatched
107,Stacey,1,indian,female,unknown,12/9/17,Lunch,washingtonconnie@hotmail.com,unknown,unknown,unmatched
108,Andrew,3,american,male,unknown,12/9/17,Dinner,walltracey@anderson.com,unknown,unknown,unmatched
109,Laurie,1,thai,female,unknown,12/9/17,Lunch,seanburns@gmail.com,unknown,unknown,unmatched
110,Elizabeth,1,mexican,female,unknown,12/7/17,Lunch,mschmidt@burke.biz,unknown,unknown,unmatched
111,Brandi,1,indian,female,unknown,12/8/17,Dinner,jeffreyhayes@gmail.com,unknown,unknown,unmatched
112,Ricky,1,korean,male,unknown,12/8/17,Breakfast,nbutler@gmail.com,unknown,unknown,unmatched
113,Sandra,1,mexican,female,unknown,12/9/17,Lunch,lwright@brown-murray.com,unknown,unknown,unmatched
114,David,3,french,male,unknown,12/7/17,Lunch,haneydaniel@hotmail.com,unknown,unknown,unmatched
115,William,2,japanese,male,unknown,12/7/17,Dinner,sarahrobinson@vincent.com,unknown,unknown,unmatched
116,Nancy,3,italian,female,unknown,12/7/17,Dinner,craignathan@weaver-turner.net,unknown,unknown,unmatched
117,James,1,spanish,male,unknown,12/9/17,Dinner,hullsusan@cobb-williams.biz,unknown,unknown,unmatched
118,Susan,1,american,female,unknown,12/7/17,Lunch,antonioperez@henderson-curtis.info,unknown,unknown,unmatched
119,Justin,3,thai,male,unknown,12/8/17,Dinner,hesteremily@watts-sanchez.biz,unknown,unknown,unmatched
120,Jessica,1,italian,female,unknown,12/8/17,Breakfast,wbest@hotmail.com,unknown,unknown,unmatched
121,Jennifer,2,american,female,unknown,12/8/17,Breakfast,imyers@gmail.com,unknown,unknown,unmatched
122,Kyle,3,french,male,unknown,12/8/17,Dinner,lorileon@durham.net,unknown,unknown,unmatched
123,Scott,3,american,male,unknown,12/9/17,Lunch,allencody@shaw-vega.com,unknown,unknown,unmatched
124,Laura,3,french,female,unknown,12/9/17,Dinner,acostakelly@warren.com,unknown,unknown,unmatched
125,Julia,2,russian,female,unknown,12/8/17,Lunch,cynthiawood@yahoo.com,unknown,unknown,unmatched
126,Michael,2,thai,male,unknown,12/9/17,Dinner,willisolivia@hotmail.com,unknown,unknown,unmatched
127,Michelle,3,ethiopian,female,unknown,12/9/17,Breakfast,bakeralicia@gmail.com,unknown,unknown,unmatched
128,Heather,2,french,female,unknown,12/8/17,Dinner,fvasquez@gmail.com,unknown,unknown,unmatched
129,Anthony,3,thai,male,unknown,12/7/17,Lunch,payneamanda@fischer-long.com,unknown,unknown,unmatched
130,Brenda,2,american,female,unknown,12/9/17,Breakfast,cynthia52@martinez.biz,unknown,unknown,unmatched
131,Anthony,3,italian,male,unknown,12/7/17,Dinner,wtate@salinas-martinez.info,unknown,unknown,unmatched
132,Sarah,1,french,female,unknown,12/8/17,Lunch,bhammond@james.com,unknown,unknown,unmatched
133,Thomas,2,chinese,male,unknown,12/7/17,Dinner,michael70@foster-alvarez.com,unknown,unknown,unmatched
134,William,3,thai,male,unknown,12/9/17,Dinner,qpowers@gmail.com,unknown,unknown,unmatched
135,Susan,3,ethiopian,female,unknown,12/8/17,Breakfast,bschwartz@gmail.com,unknown,unknown,unmatched
136,Heather,2,ethiopian,female,unknown,12/9/17,Dinner,ttaylor@webb.com,unknown,unknown,unmatched
137,Rodney,3,mexican,male,unknown,12/8/17,Dinner,molinacaleb@buchanan-adams.com,unknown,unknown,unmatched
138,Brendan,1,mexican,male,unknown,12/8/17,Breakfast,suegarcia@chang-shannon.biz,unknown,unknown,unmatched
139,Robert,1,korean,male,unknown,12/7/17,Dinner,lisa73@coleman.com,unknown,unknown,unmatched
140,Raymond,1,russian,male,unknown,12/9/17,Dinner,glennbrian@hotmail.com,unknown,unknown,unmatched
141,Zachary,1,spanish,male,unknown,12/7/17,Dinner,fgates@gmail.com,unknown,unknown,unmatched
142,Bryan,3,italian,male,unknown,12/7/17,Lunch,cisnerosmarie@hotmail.com,unknown,unknown,unmatched
143,Mark,2,french,male,unknown,12/8/17,Dinner,medinanathan@hotmail.com,unknown,unknown,unmatched
144,Christine,1,ethiopian,female,unknown,12/9/17,Breakfast,bobby88@turner-hudson.com,unknown,unknown,unmatched
145,Cassandra,2,mexican,female,unknown,12/7/17,Dinner,browndanielle@kelley.com,unknown,unknown,unmatched
146,Amanda,3,japanese,female,unknown,12/7/17,Lunch,alyssajohnson@gmail.com,unknown,unknown,unmatched
147,Raymond,3,spanish,male,unknown,12/9/17,Dinner,glennbrian@hotmail.com,unknown,unknown,unmatched
148,Alexa,3,russian,female,unknown,12/9/17,Dinner,bmitchell@yahoo.com,unknown,unknown,unmatched
149,Christina,3,italian,female,unknown,12/8/17,Dinner,hillheather@hotmail.com,unknown,unknown,unmatched
150,Jo,2,russian,female,unknown,12/9/17,Breakfast,christinatorres@gibson-cooley.com,unknown,unknown,unmatched
151,Mark,1,mexican,male,unknown,12/9/17,Dinner,dakota63@yahoo.com,unknown,unknown,unmatched
152,Tyrone,2,thai,male,unknown,12/7/17,Lunch,brendanunez@melendez.net,unknown,unknown,unmatched
153,Shelia,3,mediterranian,female,unknown,12/8/17,Lunch,mgardner@rogers-martinez.com,unknown,unknown,unmatched
154,Benjamin,1,chinese,male,unknown,12/7/17,Lunch,blairtanya@townsend.org,unknown,unknown,unmatched
155,Edgar,3,italian,male,unknown,12/8/17,Lunch,gevans@wheeler-golden.com,unknown,unknown,unmatched
156,Jeffrey,2,french,male,unknown,12/7/17,Breakfast,elaine33@hotmail.com,unknown,unknown,unmatched
157,Brad,3,ethiopian,male,unknown,12/8/17,Dinner,obishop@willis.org,unknown,unknown,unmatched
158,Brian,1,indian,male,unknown,12/9/17,Lunch,qbailey@blanchard.org,unknown,unknown,unmatched
159,Derrick,1,american,male,unknown,12/8/17,Lunch,oking@yahoo.com,unknown,unknown,unmatched
160,Stephen,3,italian,male,unknown,12/9/17,Dinner,simpsonrobert@gmail.com,unknown,unknown,unmatched
161,Julie,1,chinese,female,unknown,12/8/17,Dinner,linda18@sims.com,unknown,unknown,unmatched
162,Deborah,1,chinese,female,unknown,12/7/17,Breakfast,fieldscharles@gmail.com,unknown,unknown,unmatched
163,Sharon,3,mediterranian,female,unknown,12/7/17,Breakfast,cmendoza@owens.org,unknown,unknown,unmatched
164,Craig,3,japanese,male,unknown,12/7/17,Breakfast,megan45@gmail.com,unknown,unknown,unmatched
165,Taylor,3,mexican,female,unknown,12/9/17,Breakfast,alyssaflowers@washington.com,unknown,unknown,unmatched
166,Cheryl,3,spanish,female,unknown,12/7/17,Lunch,gbrown@gmail.com,unknown,unknown,unmatched
167,Kelly,2,american,female,unknown,12/7/17,Breakfast,shaffersharon@hotmail.com,unknown,unknown,unmatched
168,Bonnie,2,thai,female,unknown,12/8/17,Lunch,ymurphy@jennings.com,unknown,unknown,unmatched
169,Sandra,2,american,female,unknown,12/9/17,Lunch,bcarey@guerrero.com,unknown,unknown,unmatched
170,Anita,2,italian,female,unknown,12/8/17,Lunch,kaneedward@yahoo.com,unknown,unknown,unmatched
171,Stephen,2,italian,male,unknown,12/7/17,Dinner,michaelprice@yahoo.com,unknown,unknown,unmatched
172,David,2,chinese,male,unknown,12/8/17,Breakfast,trujillolisa@hotmail.com,unknown,unknown,unmatched
173,Alicia,2,mexican,female,unknown,12/9/17,Dinner,pedwards@carr.com,unknown,unknown,unmatched
174,Jason,2,italian,male,unknown,12/8/17,Dinner,courtneypittman@andrade.net,unknown,unknown,unmatched
175,Tommy,3,chinese,male,unknown,12/7/17,Breakfast,jessicaortega@rowland.com,unknown,unknown,unmatched
176,James,3,mediterranian,male,unknown,12/9/17,Breakfast,ashley08@yates.org,unknown,unknown,unmatched
177,Jose,1,mexican,male,unknown,12/8/17,Dinner,wcollins@avila-ho.com,unknown,unknown,unmatched
178,Elizabeth,3,french,female,unknown,12/7/17,Lunch,mschmidt@burke.biz,unknown,unknown,unmatched
179,Jennifer,3,indian,female,unknown,12/8/17,Breakfast,danielle01@yahoo.com,unknown,unknown,unmatched
180,Trevor,3,french,male,unknown,12/8/17,Dinner,umiller@walker.com,unknown,unknown,unmatched
181,Susan,1,thai,female,unknown,12/9/17,Dinner,judithavila@jones-brown.net,unknown,unknown,unmatched
182,David,2,french,male,unknown,12/8/17,Dinner,smithrobert@hicks.info,unknown,unknown,unmatched
183,Margaret,3,french,female,unknown,12/9/17,Lunch,griffincynthia@jones.com,unknown,unknown,unmatched
184,Rhonda,3,american,female,unknown,12/8/17,Dinner,cstewart@hotmail.com,unknown,unknown,unmatched
185,Jennifer,3,french,female,unknown,12/9/17,Dinner,xwalker@moore.com,unknown,unknown,unmatched
186,James,3,ethiopian,male,unknown,12/9/17,Breakfast,hullsusan@cobb-williams.biz,unknown,unknown,unmatched
187,Darren,2,mediterranian,male,unknown,12/8/17,Lunch,sanfordryan@gmail.com,unknown,unknown,unmatched
188,Kimberly,3,italian,female,unknown,12/9/17,Lunch,candace98@yahoo.com,unknown,unknown,unmatched
189,Tiffany,3,thai,female,unknown,12/7/17,Breakfast,btodd@hotmail.com,unknown,unknown,unmatched
190,Michael,1,mexican,male,unknown,12/9/17,Breakfast,bradley51@garcia.com,unknown,unknown,unmatched
191,Patrick,3,russian,male,unknown,12/7/17,Lunch,mathew40@smith-peck.com,unknown,unknown,unmatched
192,Robert,1,french,male,unknown,12/9/17,Breakfast,ashley35@turner.com,unknown,unknown,unmatched
193,Zachary,3,japanese,male,unknown,12/9/17,Dinner,crawfordbryan@harris-mack.com,unknown,unknown,unmatched
194,Andrew,1,thai,male,unknown,12/7/17,Lunch,greenetroy@nelson-manning.com,unknown,unknown,unmatched
195,Ricky,3,korean,male,unknown,12/7/17,Dinner,lmorgan@baker.com,unknown,unknown,unmatched
196,Trevor,1,american,male,unknown,12/9/17,Breakfast,davidwilliamson@hotmail.com,unknown,unknown,unmatched
197,Daniel,2,chinese,male,unknown,12/7/17,Breakfast,glambert@flores.com,unknown,unknown,unmatched
198,Marco,2,mexican,male,unknown,12/9/17,Dinner,hhouse@yahoo.com,unknown,unknown,unmatched
199,Gabriel,2,ethiopian,male,unknown,12/9/17,Breakfast,daniellecobb@yahoo.com,unknown,unknown,unmatched
200,Debbie,1,italian,female,unknown,12/9/17,Dinner,nathanbennett@hotmail.com,unknown,unknown,unmatched
201,Deborah,1,american,female,unknown,12/9/17,Lunch,fieldscharles@gmail.com,unknown,unknown,unmatched
202,Michael,1,italian,male,unknown,12/7/17,Dinner,jasonmahoney@gmail.com,unknown,unknown,unmatched
203,Justin,3,italian,male,unknown,12/9/17,Lunch,hesteremily@watts-sanchez.biz,unknown,unknown,unmatched
204,Daniel,3,mediterranian,male,unknown,12/7/17,Lunch,katrina61@hubbard.com,unknown,unknown,unmatched
205,Sabrina,3,mexican,female,unknown,12/8/17,Dinner,alicia00@yahoo.com,unknown,unknown,unmatched
206,Daniel,1,thai,male,unknown,12/7/17,Lunch,lopezjulie@bauer-smith.com,unknown,unknown,unmatched
207,Michael,1,italian,male,unknown,12/9/17,Breakfast,george35@smith.com,unknown,unknown,unmatched
208,Gregory,2,ethiopian,male,unknown,12/7/17,Lunch,brianowens@gmail.com,unknown,unknown,unmatched
209,Steve,3,chinese,male,unknown,12/9/17,Lunch,sarahdaniel@gmail.com,unknown,unknown,unmatched
210,Diana,3,russian,female,unknown,12/8/17,Lunch,ysandoval@yahoo.com,unknown,unknown,unmatched
211,Kevin,2,thai,male,unknown,12/7/17,Lunch,adam70@hotmail.com,unknown,unknown,unmatched
212,Dawn,3,japanese,female,unknown,12/8/17,Dinner,timothy15@mullen.com,unknown,unknown,unmatched
213,Christopher,2,chinese,male,unknown,12/8/17,Breakfast,millermaria@donovan-walker.com,unknown,unknown,unmatched
214,Laura,3,spanish,female,unknown,12/9/17,Dinner,acostakelly@warren.com,unknown,unknown,unmatched
215,John,1,american,male,unknown,12/8/17,Lunch,markskimberly@shaw-kelley.com,unknown,unknown,unmatched
216,Kristi,1,thai,female,unknown,12/7/17,Breakfast,samuel35@mcdowell.com,unknown,unknown,unmatched
217,Michael,3,spanish,male,unknown,12/9/17,Dinner,rachel95@yahoo.com,unknown,unknown,unmatched
218,Adam,2,american,male,unknown,12/8/17,Dinner,thompsonjohn@adams-powell.com,unknown,unknown,unmatched
219,Barbara,3,chinese,female,unknown,12/9/17,Breakfast,cmartinez@hotmail.com,unknown,unknown,unmatched
220,Amy,3,mexican,female,unknown,12/7/17,Dinner,humphreylisa@gmail.com,unknown,unknown,unmatched
221,Derrick,1,spanish,male,unknown,12/9/17,Lunch,jensenloretta@gmail.com,unknown,unknown,unmatched
222,Zachary,1,mediterranian,male,unknown,12/8/17,Breakfast,crawfordbryan@harris-mack.com,unknown,unknown,unmatched
223,Brandon,3,russian,male,unknown,12/9/17,Breakfast,hollysantiago@hotmail.com,unknown,unknown,unmatched
224,Holly,1,mediterranian,female,unknown,12/7/17,Dinner,phillip44@hotmail.com,unknown,unknown,unmatched
225,Sonya,1,ethiopian,female,unknown,12/7/17,Dinner,bryantshawn@wilson.org,unknown,unknown,unmatched
226,Joseph,1,american,male,unknown,12/8/17,Dinner,belliott@yahoo.com,unknown,unknown,unmatched
227,Teresa,1,russian,female,unknown,12/9/17,Breakfast,fvargas@gmail.com,unknown,unknown,unmatched
228,Lisa,2,mexican,female,unknown,12/9/17,Dinner,christinavalencia@gmail.com,unknown,unknown,unmatched
229,Jacob,3,ethiopian,male,unknown,12/8/17,Dinner,ethompson@gmail.com,unknown,unknown,unmatched
230,Jimmy,1,russian,male,unknown,12/9/17,Dinner,ashley79@thompson.biz,unknown,unknown,unmatched
231,Samantha,1,chinese,female,unknown,12/9/17,Breakfast,joshuahernandez@white.net,unknown,unknown,unmatched
232,Benjamin,2,korean,male,unknown,12/7/17,Breakfast,deborah30@elliott.com,unknown,unknown,unmatched
233,Corey,2,thai,male,unknown,12/8/17,Breakfast,charlotteerickson@hotmail.com,unknown,unknown,unmatched
234,Stephanie,2,french,female,unknown,12/9/17,Lunch,micheleryan@goodman.com,unknown,unknown,unmatched
235,Ryan,1,russian,male,unknown,12/8/17,Lunch,mccartyjoseph@williams.biz,unknown,unknown,unmatched
236,Mary,2,mediterranian,female,unknown,12/9/17,Breakfast,mjackson@yahoo.com,unknown,unknown,unmatched
237,Anthony,3,indian,male,unknown,12/8/17,Lunch,fbrown@yahoo.com,unknown,unknown,unmatched
238,Caleb,2,french,male,unknown,12/7/17,Dinner,urobbins@hart.com,unknown,unknown,unmatched
239,Christie,3,italian,female,unknown,12/9/17,Breakfast,yewing@cunningham-williams.biz,unknown,unknown,unmatched
240,Jessica,1,american,female,unknown,12/9/17,Lunch,moniquemyers@martin.com,unknown,unknown,unmatched
241,Crystal,2,mexican,female,unknown,12/9/17,Lunch,andrewgould@hotmail.com,unknown,unknown,unmatched
242,Brandon,3,ethiopian,male,unknown,12/7/17,Lunch,drichardson@hotmail.com,unknown,unknown,unmatched
243,Mark,1,mexican,male,unknown,12/7/17,Breakfast,pgriffin@gonzalez.com,unknown,unknown,unmatched
244,Elizabeth,2,ethiopian,female,unknown,12/8/17,Breakfast,melliott@hotmail.com,unknown,unknown,unmatched
245,Angela,2,french,female,unknown,12/7/17,Lunch,stonejamie@miller-hicks.com,unknown,unknown,unmatched
246,Cynthia,2,spanish,female,unknown,12/7/17,Dinner,scortez@hotmail.com,unknown,unknown,unmatched
247,Alexander,1,spanish,male,unknown,12/8/17,Lunch,david37@hotmail.com,unknown,unknown,unmatched
248,Susan,1,indian,female,unknown,12/7/17,Breakfast,judithavila@jones-brown.net,unknown,unknown,unmatched
249,Jessica,3,japanese,female,unknown,12/9/17,Lunch,cody09@chung-boone.net,unknown,unknown,unmatched
250,Kimberly,1,italian,female,unknown,12/7/17,Breakfast,candace98@yahoo.com,unknown,unknown,unmatched
251,Emily,2,japanese,female,unknown,12/8/17,Dinner,samanthalane@sanchez-barnes.com,unknown,unknown,unmatched
252,Gary,3,mediterranian,male,unknown,12/8/17,Lunch,glasselizabeth@yahoo.com,unknown,unknown,unmatched
